created_at,temperature,humidity,motion,gas,is_night,motion_duration_sec
2026-06-21T23:00:00,25.6,58.1,0,0,True,0
2026-06-21T23:00:02,24.4,48.4,0,0,True,0
2026-06-21T23:00:04,29.7,69.8,0,0,True,0
2026-06-21T23:00:06,25.6,54.4,0,0,True,0
2026-06-21T23:00:08,25.8,60.0,0,0,True,0
2026-06-21T23:00:10,26.4,63.2,0,0,True,0
2026-06-21T23:00:12,29.5,69.4,1,0,True,1
2026-06-21T23:00:14,25.3,40,1,0,True,1
2026-06-21T23:00:16,27.5,59.1,1,0,True,1
2026-06-21T23:00:18,26.2,51.5,0,0,True,0
2026-06-21T23:00:20,26.5,50.1,0,0,True,0
2026-06-21T23:00:22,27.1,49.9,0,0,True,0
2026-06-21T23:00:24,29.9,68.7,1,0,True,2
2026-06-21T23:00:26,28.6,57.2,1,0,True,2
2026-06-21T23:00:28,29.5,69.8,0,0,True,0
2026-06-21T23:00:30,26.3,66.3,1,0,True,2
2026-06-21T23:00:32,27.9,55.1,1,0,True,1
2026-06-21T23:00:34,25.3,62.7,0,0,True,0
2026-06-21T23:00:36,29.7,68.9,1,0,True,2
2026-06-21T23:00:38,24.2,59.2,0,0,True,0
2026-06-21T23:00:40,24.0,49.5,0,0,True,0
2026-06-21T23:00:42,24.7,54.8,0,0,True,0
2026-06-21T23:00:44,26.2,45.1,1,0,True,2
2026-06-21T23:00:46,26.9,46.8,0,0,True,0
2026-06-21T23:00:48,27.5,56.6,0,0,True,0
2026-06-21T23:00:50,24.8,54.3,0,0,True,0
2026-06-21T23:00:52,24.2,53.5,0,0,True,0
2026-06-21T23:00:54,25.4,55.7,0,0,True,0
2026-06-21T23:00:56,28.6,52.7,0,0,True,0
2026-06-21T23:00:58,24.8,60.3,0,0,True,0
2026-06-21T23:01:00,26.8,56.4,0,0,True,0
2026-06-21T23:01:02,29.8,46.6,0,0,True,0
2026-06-21T23:01:04,27.0,58.4,0,0,True,0
2026-06-21T23:01:06,26.5,53.0,1,0,True,2
2026-06-21T23:01:08,24.8,53.6,0,0,True,0
2026-06-21T23:01:10,28.8,64.4,1,0,True,1
2026-06-21T23:01:12,25.1,55.5,1,0,True,1
2026-06-21T23:01:14,29.3,70,0,0,True,0
2026-06-21T23:01:16,26.3,53.1,0,0,True,0
2026-06-21T23:01:18,26.1,56.5,0,0,True,0
2026-06-21T23:01:20,27.8,55.0,1,0,True,1
2026-06-21T23:01:22,26.4,57.9,0,0,True,0
2026-06-21T23:01:24,26.7,60.4,1,0,True,2
2026-06-21T23:01:26,26.6,60.7,0,0,True,0
2026-06-21T23:01:28,23.7,61.8,0,0,True,0
2026-06-21T23:01:30,26.6,58.5,0,0,True,0
2026-06-21T23:01:32,25.5,45.2,0,0,True,0
2026-06-21T23:01:34,29.1,69.5,0,0,True,0
2026-06-21T23:01:36,25.2,48.1,0,0,True,0
2026-06-21T23:01:38,24.4,67.7,0,0,True,0
2026-06-21T23:01:40,25.2,49.8,1,0,True,2
2026-06-21T23:01:42,23.0,58.0,0,0,True,0
2026-06-21T23:01:44,26.1,47.3,0,0,True,0
2026-06-21T23:01:46,24.2,54.1,0,0,True,0
2026-06-21T23:01:48,30.0,69.1,1,0,True,2
2026-06-21T23:01:50,24.8,57.8,1,0,True,1
2026-06-21T23:01:52,27.1,44.6,0,0,True,0
2026-06-21T23:01:54,29.9,68.7,0,0,True,0
2026-06-21T23:01:56,25.8,60.4,0,0,True,0
2026-06-21T23:01:58,29.7,68.6,1,0,True,2
2026-06-21T23:02:00,26.3,57.2,0,0,True,0
2026-06-21T23:02:02,25.5,56.4,0,0,True,0
2026-06-21T23:02:04,23.8,60.5,0,0,True,0
2026-06-21T23:02:06,27.2,58.3,1,0,True,1
2026-06-21T23:02:08,25.1,49.4,0,0,True,0
2026-06-21T23:02:10,24.6,57.1,1,0,True,1
2026-06-21T23:02:12,25.3,43.5,1,0,True,1
2026-06-21T23:02:14,26.0,56.6,1,0,True,1
2026-06-21T23:02:16,27.3,55.6,0,0,True,0
2026-06-21T23:02:18,26.0,46.8,1,0,True,2
2026-06-21T23:02:20,27.7,54.8,1,0,True,1
2026-06-21T23:02:22,29.7,68.6,0,0,True,0
2026-06-21T23:02:24,27.5,51.4,0,0,True,0
2026-06-21T23:02:26,29.3,68.4,0,0,True,0
2026-06-21T23:02:28,25.4,48.4,1,0,True,2
2026-06-21T23:02:30,25.1,61.7,0,0,True,0
2026-06-21T23:02:32,26.9,51.3,0,0,True,0
2026-06-21T23:02:34,25.2,63.9,0,0,True,0
2026-06-21T23:02:36,27.1,60.4,0,0,True,0
2026-06-21T23:02:38,24.4,41.2,1,0,True,2
2026-06-21T23:02:40,23.6,52.5,0,0,True,0
2026-06-21T23:02:42,22.3,55.9,1,0,True,2
2026-06-21T23:02:44,26.0,58.5,1,0,True,2
2026-06-21T23:02:46,27.2,51.6,0,0,True,0
2026-06-21T23:02:48,29.4,69.4,1,0,True,1
2026-06-21T23:02:50,25.8,66.7,0,0,True,0
2026-06-21T23:02:52,24.0,58.1,0,0,True,0
2026-06-21T23:02:54,27.5,56.0,0,0,True,0
2026-06-21T23:02:56,27.1,55.6,0,0,True,0
2026-06-21T23:02:58,25.0,50.5,0,0,True,0
2026-06-21T23:03:00,25.2,60.3,0,0,True,0
2026-06-21T23:03:02,22.1,58.4,0,0,True,0
2026-06-21T23:03:04,29.2,51.9,0,0,True,0
2026-06-21T23:03:06,26.9,58.8,1,0,True,2
2026-06-21T23:03:08,24.9,45.7,0,0,True,0
2026-06-21T23:03:10,29.9,69.0,0,0,True,0
2026-06-21T23:03:12,29.3,69.9,1,0,True,1
2026-06-21T23:03:14,25.4,54.9,1,0,True,1
2026-06-21T23:03:16,25.6,60.2,0,0,True,0
2026-06-21T23:03:18,23.2,56.3,0,0,True,0
2026-06-21T23:03:20,25.6,65.8,0,0,True,0
2026-06-21T23:03:22,23.7,55.4,1,0,True,2
2026-06-21T23:03:24,29.7,68.6,0,0,True,0
2026-06-21T23:03:26,27.4,51.5,0,0,True,0
2026-06-21T23:03:28,24.7,59.7,1,0,True,2
2026-06-21T23:03:30,27.6,54.2,1,0,True,1
2026-06-21T23:03:32,27.8,52.5,1,0,True,2
2026-06-21T23:03:34,24.9,53.0,0,0,True,0
2026-06-21T23:03:36,26.4,63.0,1,0,True,1
2026-06-21T23:03:38,25.4,56.5,0,0,True,0
2026-06-21T23:03:40,27.2,57.1,0,0,True,0
2026-06-21T23:03:42,26.2,54.1,1,0,True,1
2026-06-21T23:03:44,25.7,51.1,1,0,True,2
2026-06-21T23:03:46,24.5,60.4,0,0,True,0
2026-06-21T23:03:48,26.9,49.1,1,0,True,1
2026-06-21T23:03:50,24.7,45.5,0,0,True,0
2026-06-21T23:03:52,27.0,53.8,0,0,True,0
2026-06-21T23:03:54,25.1,57.5,0,0,True,0
2026-06-21T23:03:56,24.7,59.6,1,0,True,2
2026-06-21T23:03:58,27.1,51.5,1,0,True,2
2026-06-21T23:04:00,26.1,52.2,0,0,True,0
2026-06-21T23:04:02,26.2,51.0,0,0,True,0
2026-06-21T23:04:04,26.5,46.9,0,0,True,0
2026-06-21T23:04:06,28.3,55.6,0,0,True,0
2026-06-21T23:04:08,25.6,53.9,0,0,True,0
2026-06-21T23:04:10,29.7,47.6,1,0,True,1
2026-06-21T23:04:12,26.9,43.3,0,0,True,0
2026-06-21T23:04:14,25.6,58.7,1,0,True,1
2026-06-21T23:04:16,26.2,60.4,1,0,True,1
2026-06-21T23:04:18,28.0,52.1,0,0,True,0
2026-06-21T23:04:20,24.7,57.8,1,0,True,2
2026-06-21T23:04:22,26.3,54.0,0,0,True,0
2026-06-21T23:04:24,26.4,45.9,1,0,True,1
2026-06-21T23:04:26,26.3,47.5,0,0,True,0
2026-06-21T23:04:28,27.2,54.4,1,0,True,2
2026-06-21T23:04:30,27.3,54.3,0,0,True,0
2026-06-21T23:04:32,28.5,54.3,0,0,True,0
2026-06-21T23:04:34,28.9,60.3,0,0,True,0
2026-06-21T23:04:36,29.6,68.5,0,0,True,0
2026-06-21T23:04:38,24.0,49.9,0,0,True,0
2026-06-21T23:04:40,23.5,59.5,0,0,True,0
2026-06-21T23:04:42,23.6,48.2,1,0,True,2
2026-06-21T23:04:44,27.1,57.7,0,0,True,0
2026-06-21T23:04:46,27.2,61.1,0,0,True,0
2026-06-21T23:04:48,29.0,46.7,0,0,True,0
2026-06-21T23:04:50,29.4,68.6,0,0,True,0
2026-06-21T23:04:52,26.2,61.7,0,0,True,0
2026-06-21T23:04:54,26.3,60.2,0,0,True,0
2026-06-21T23:04:56,26.4,49.9,1,0,True,2
2026-06-21T23:04:58,23.7,53.3,0,0,True,0
2026-06-21T23:05:00,25.6,55.3,0,0,True,0
2026-06-21T23:05:02,25.4,57.5,0,0,True,0
2026-06-21T23:05:04,26.9,55.9,1,0,True,1
2026-06-21T23:05:06,25.5,58.0,0,0,True,0
2026-06-21T23:05:08,24.9,59.1,0,0,True,0
2026-06-21T23:05:10,28.6,65.8,1,0,True,1
2026-06-21T23:05:12,26.9,60.1,0,0,True,0
2026-06-21T23:05:14,28.0,54.3,0,0,True,0
2026-06-21T23:05:16,23.6,58.5,0,0,True,0
2026-06-21T23:05:18,23.0,50.0,1,0,True,2
2026-06-21T23:05:20,27.0,53.7,0,0,True,0
2026-06-21T23:05:22,23.0,55.5,0,0,True,0
2026-06-21T23:05:24,23.5,53.2,0,0,True,0
2026-06-21T23:05:26,25.0,52.9,0,0,True,0
2026-06-21T23:05:28,25.7,53.5,0,0,True,0
2026-06-21T23:05:30,26.9,53.6,1,0,True,2
2026-06-21T23:05:32,22.6,49.0,0,0,True,0
2026-06-21T23:05:34,25.4,55.8,1,0,True,2
2026-06-21T23:05:36,26.5,51.6,0,0,True,0
2026-06-21T23:05:38,26.4,60.0,0,0,True,0
2026-06-21T23:05:40,24.5,50.7,1,0,True,2
2026-06-21T23:05:42,28.1,53.6,0,0,True,0
2026-06-21T23:05:44,26.8,46.3,0,0,True,0
2026-06-21T23:05:46,25.3,58.1,1,0,True,1
2026-06-21T23:05:48,26.0,53.7,1,0,True,2
2026-06-21T23:05:50,25.7,52.2,0,0,True,0
2026-06-21T23:05:52,27.4,57.1,0,0,True,0
2026-06-21T23:05:54,28.9,69.7,0,0,True,0
2026-06-21T23:05:56,24.6,55.1,1,0,True,1
2026-06-21T23:05:58,24.3,53.6,0,0,True,0
2026-06-21T23:06:00,27.8,62.4,0,0,True,0
2026-06-21T23:06:02,26.6,55.3,1,0,True,2
2026-06-21T23:06:04,25.0,56.9,1,0,True,1
2026-06-21T23:06:06,25.5,51.6,0,0,True,0
2026-06-21T23:06:08,25.7,44.7,0,0,True,0
2026-06-21T23:06:10,26.6,56.9,0,0,True,0
