created_at,temperature,humidity,motion,gas,alarm,is_night,motion_duration_sec,class,reason
2026-06-21T10:00:00,28.2,58.7,1,0,0,False,3,0,normal
2026-06-21T10:00:02,26.7,71.1,0,0,0,False,0,1,humid
2026-06-21T10:00:04,30.2,70.2,0,0,0,False,0,1,warm_humid
2026-06-21T10:00:06,34.5,72.1,0,0,0,False,0,1,warm_humid
2026-06-21T10:00:08,32.2,64.5,0,0,0,False,0,1,warm
2026-06-21T10:00:10,32.7,62.1,0,0,0,False,0,1,warm
2026-06-21T10:00:12,33.8,45.3,0,0,0,False,0,1,warm
2026-06-21T10:00:14,29.7,72.9,0,0,0,False,0,1,humid
2026-06-21T10:00:16,25.8,74.6,0,0,0,False,0,1,humid
2026-06-21T10:00:18,33.3,50.7,0,0,0,False,0,1,warm
2026-06-21T10:00:20,26.5,73.2,0,0,0,False,0,1,humid
2026-06-21T10:00:22,30.6,50.3,0,0,0,False,0,1,warm
2026-06-21T10:00:24,32.1,54.1,0,0,0,False,0,1,warm
2026-06-21T10:00:26,27.0,75.8,0,0,0,False,0,1,humid
2026-06-21T10:00:28,29.9,45.1,1,0,0,False,6,0,normal
2026-06-21T10:00:30,32.4,51.4,0,0,0,False,0,1,warm
2026-06-21T10:00:32,33.0,73.7,0,0,0,False,0,1,warm_humid
2026-06-21T10:00:34,29.4,71.7,0,0,0,False,0,1,humid
2026-06-21T10:00:36,27.2,70,0,0,0,False,0,1,humid
2026-06-21T10:00:38,25.3,73.9,0,0,0,False,0,1,humid
2026-06-21T10:00:40,26.6,72.7,0,0,0,False,0,1,humid
2026-06-21T10:00:42,31.6,70.0,0,0,0,False,0,1,warm_humid
2026-06-21T10:00:44,26.1,74.2,0,0,0,False,0,1,humid
2026-06-21T10:00:46,33.7,62.7,0,0,0,False,0,1,warm
2026-06-21T10:00:48,32.2,55.3,0,0,0,False,0,1,warm
2026-06-21T10:00:50,26.7,59.7,1,0,0,False,20,0,normal
2026-06-21T10:00:52,27.9,76.1,0,0,0,False,0,1,humid
2026-06-21T10:00:54,25.8,40,1,0,0,False,23,0,normal
2026-06-21T10:00:56,30,70.3,0,0,0,False,0,1,warm_humid
2026-06-21T10:00:58,31.7,52.1,0,0,0,False,0,1,warm
2026-06-21T10:01:00,24.8,59.1,1,0,0,False,15,0,normal
2026-06-21T10:01:02,32.5,74.5,0,0,0,False,0,1,warm_humid
2026-06-21T10:01:04,25.9,73.9,0,0,0,False,0,1,humid
2026-06-21T10:01:06,30.1,54.8,0,0,0,False,0,1,warm
2026-06-21T10:01:08,31.4,71.0,0,0,0,False,0,1,warm_humid
2026-06-21T10:01:10,23.8,54.5,1,0,0,False,9,0,normal
2026-06-21T10:01:12,26.7,74.9,0,0,0,False,0,1,humid
2026-06-21T10:01:14,31.4,71.7,0,0,0,False,0,1,warm_humid
2026-06-21T10:01:16,30.1,70.5,0,0,0,False,0,1,warm_humid
2026-06-21T10:01:18,26.0,49.6,1,0,0,False,28,0,normal
2026-06-21T10:01:20,30.5,70.2,0,0,0,False,0,1,warm_humid
2026-06-21T10:01:22,26.3,49.7,1,0,0,False,26,0,normal
2026-06-21T10:01:24,24.6,71.9,0,0,0,False,0,1,humid
2026-06-21T10:01:26,30.6,72.9,0,0,0,False,0,1,warm_humid
2026-06-21T10:01:28,31.0,45.9,0,0,0,False,0,1,warm
2026-06-21T10:01:30,30.1,70.1,0,0,0,False,0,1,warm_humid
2026-06-21T10:01:32,31.7,52.2,0,0,0,False,0,1,warm
2026-06-21T10:01:34,31.0,53.4,0,0,0,False,0,1,warm
2026-06-21T10:01:36,31.6,58.1,0,0,0,False,0,1,warm
2026-06-21T10:01:38,22.5,50.0,1,0,0,False,7,0,normal
2026-06-21T10:01:40,30.3,70,0,0,0,False,0,1,warm_humid
2026-06-21T10:01:42,30,72.0,0,0,0,False,0,1,warm_humid
2026-06-21T10:01:44,31.6,61.1,0,0,0,False,0,1,warm
2026-06-21T10:01:46,30.1,70.1,0,0,0,False,0,1,warm_humid
2026-06-21T10:01:48,33.0,71.7,0,0,0,False,0,1,warm_humid
2026-06-21T10:01:50,28.5,76.2,0,0,0,False,0,1,humid
2026-06-21T10:01:52,27.8,54.7,1,0,0,False,8,0,normal
2026-06-21T10:01:54,27.6,74.1,0,0,0,False,0,1,humid
2026-06-21T10:01:56,24.6,53.6,1,0,0,False,15,0,normal
2026-06-21T10:01:58,27.5,47.3,1,0,0,False,20,0,normal
2026-06-21T10:02:00,25.8,58.5,1,0,0,False,22,0,normal
2026-06-21T10:02:02,28.1,75.6,0,0,0,False,0,1,humid
2026-06-21T10:02:04,31.2,73.8,0,0,0,False,0,1,warm_humid
2026-06-21T10:02:06,27.3,60.4,1,0,0,False,8,0,normal
2026-06-21T10:02:08,28.2,56.6,1,0,0,False,5,0,normal
2026-06-21T10:02:10,32.6,71.0,0,0,0,False,0,1,warm_humid
2026-06-21T10:02:12,30,70.3,0,0,0,False,0,1,warm_humid
