created_at,temperature,humidity,motion,gas,alarm,is_night,motion_duration_sec,alert_class,reason
2026-06-21T23:00:00,27.9,79.5,0,0,0,True,0,1,humid
2026-06-21T23:00:02,25.4,72.4,0,0,0,True,0,1,humid
2026-06-21T23:00:04,25.5,60.5,1,0,0,True,4,1,night_brief_motion
2026-06-21T23:00:06,33.6,72.9,0,0,0,True,0,1,warm_humid
2026-06-21T23:00:08,30.1,70.3,1,0,0,True,3,1,warm_humid
2026-06-21T23:00:10,31.7,59.5,0,0,0,True,0,1,warm
2026-06-21T23:00:12,33.2,53.7,0,0,0,True,0,1,warm
2026-06-21T23:00:14,30.7,74.3,0,0,0,True,0,1,warm_humid
2026-06-21T23:00:16,31.3,73.5,0,0,0,True,0,1,warm_humid
2026-06-21T23:00:18,27.5,73.7,0,0,0,True,0,1,humid
2026-06-21T23:00:20,32.5,77.5,0,0,0,True,0,1,warm_humid
2026-06-21T23:00:22,34.2,73.0,0,0,0,True,0,1,warm_humid
2026-06-21T23:00:24,30.2,70.0,0,0,0,True,0,1,warm_humid
2026-06-21T23:00:26,28.0,75.4,0,0,0,True,0,1,humid
2026-06-21T23:00:28,32.3,46.2,0,0,0,True,0,1,warm
2026-06-21T23:00:30,26.6,74.1,0,0,0,True,0,1,humid
2026-06-21T23:00:32,25.4,56.0,1,0,0,True,2,1,night_brief_motion
2026-06-21T23:00:34,30.4,70.4,0,0,0,True,0,1,warm_humid
2026-06-21T23:00:36,30.3,58.8,0,0,0,True,0,1,warm
2026-06-21T23:00:38,31.8,74.8,0,0,0,True,0,1,warm_humid
2026-06-21T23:00:40,29.2,71.3,0,0,0,True,0,1,humid
2026-06-21T23:00:42,25.6,75.0,0,0,0,True,0,1,humid
2026-06-21T23:00:44,25.9,76.0,0,0,0,True,0,1,humid
2026-06-21T23:00:46,29.2,55.6,1,0,0,True,2,1,night_brief_motion
2026-06-21T23:00:48,31.7,58.7,0,0,0,True,0,1,warm
2026-06-21T23:00:50,24.4,59.0,1,0,0,True,1,1,night_brief_motion
2026-06-21T23:00:52,31.1,76.4,0,0,0,True,0,1,warm_humid
2026-06-21T23:00:54,32.8,73.0,0,0,0,True,0,1,warm_humid
2026-06-21T23:00:56,28.0,57.7,1,0,0,True,3,1,night_brief_motion
2026-06-21T23:00:58,26.8,54.6,1,0,0,True,3,1,night_brief_motion
2026-06-21T23:01:00,33.3,79.2,0,0,0,True,0,1,warm_humid
2026-06-21T23:01:02,28.4,75.0,0,0,0,True,0,1,humid
2026-06-21T23:01:04,30.9,74.4,0,0,0,True,0,1,warm_humid
2026-06-21T23:01:06,34.3,70.4,0,0,0,True,0,1,warm_humid
2026-06-21T23:01:08,30.1,70.0,0,0,0,True,0,1,warm_humid
2026-06-21T23:01:10,30.0,76.8,0,0,0,True,0,1,warm_humid
2026-06-21T23:01:12,25.9,51.4,1,0,0,True,2,1,night_brief_motion
2026-06-21T23:01:14,32.3,54.6,0,0,0,True,0,1,warm
2026-06-21T23:01:16,27.4,76.4,0,0,0,True,0,1,humid
2026-06-21T23:01:18,31.5,73.2,0,0,0,True,0,1,warm_humid
2026-06-21T23:01:20,31.5,53.2,0,0,0,True,0,1,warm
2026-06-21T23:01:22,32.3,52.6,0,0,0,True,0,1,warm
2026-06-21T23:01:24,32.1,59.2,0,0,0,True,0,1,warm
2026-06-21T23:01:26,26.1,56.6,1,0,0,True,3,1,night_brief_motion
2026-06-21T23:01:28,30.2,43.8,0,0,0,True,0,1,warm
2026-06-21T23:01:30,23.8,66.9,1,0,0,True,1,1,night_brief_motion
2026-06-21T23:01:32,24.1,72.6,0,0,0,True,0,1,humid
2026-06-21T23:01:34,22.9,52.6,1,0,0,True,2,1,night_brief_motion
2026-06-21T23:01:36,24.6,59.0,1,0,0,True,2,1,night_brief_motion
2026-06-21T23:01:38,31.4,47.3,0,0,0,True,0,1,warm
2026-06-21T23:01:40,32.2,53.9,0,0,0,True,0,1,warm
2026-06-21T23:01:42,32.3,59.3,0,0,0,True,0,1,warm
2026-06-21T23:01:44,32.5,70.4,0,0,0,True,0,1,warm_humid
2026-06-21T23:01:46,32.6,71.9,0,0,0,True,0,1,warm_humid
2026-06-21T23:01:48,31.7,54.7,0,0,0,True,0,1,warm
2026-06-21T23:01:50,32.9,60.6,0,0,0,True,0,1,warm
2026-06-21T23:01:52,25.1,55.9,1,0,0,True,4,1,night_brief_motion
2026-06-21T23:01:54,33.6,65.5,0,0,0,True,0,1,warm
2026-06-21T23:01:56,32.8,57.2,0,0,0,True,0,1,warm
2026-06-21T23:01:58,32.0,54.7,0,0,0,True,0,1,warm
2026-06-21T23:02:00,23.4,54.3,1,0,0,True,2,1,night_brief_motion
2026-06-21T23:02:02,30.3,70.4,0,0,0,True,0,1,warm_humid
2026-06-21T23:02:04,28.4,72.8,0,0,0,True,0,1,humid
2026-06-21T23:02:06,30.3,70.0,1,0,0,True,1,1,warm_humid
2026-06-21T23:02:08,26.6,74.2,0,0,0,True,0,1,humid
2026-06-21T23:02:10,26.7,57.3,1,0,0,True,3,1,night_brief_motion
2026-06-21T23:02:12,25.4,76.0,0,0,0,True,0,1,humid
2026-06-21T23:02:14,25.0,63.0,1,0,0,True,1,1,night_brief_motion
2026-06-21T23:02:16,26.4,60.3,1,0,0,True,4,1,night_brief_motion
2026-06-21T23:02:18,26.3,72.5,0,0,0,True,0,1,humid
2026-06-21T23:02:20,28.0,59.5,1,0,0,True,1,1,night_brief_motion
2026-06-21T23:02:22,30.2,70.2,1,0,0,True,1,1,warm_humid
2026-06-21T23:02:24,32.3,52.4,0,0,0,True,0,1,warm
2026-06-21T23:02:26,21.4,47.9,1,0,0,True,1,1,night_brief_motion
2026-06-21T23:02:28,32.3,56.0,0,0,0,True,0,1,warm
2026-06-21T23:02:30,32.3,76.4,0,0,0,True,0,1,warm_humid
2026-06-21T23:02:32,30.5,74.5,0,0,0,True,0,1,warm_humid
2026-06-21T23:02:34,31.7,74.0,0,0,0,True,0,1,warm_humid
2026-06-21T23:02:36,33.3,53.8,0,0,0,True,0,1,warm
2026-06-21T23:02:38,29.9,70.6,0,0,0,True,0,1,humid
