created_at,temperature,humidity,motion,gas,alarm,is_night,motion_duration_sec,alert_class,reason
2026-06-21T10:00:00,26.3,60.1,1,0,0,False,35,1,day_lingering_motion
2026-06-21T10:00:02,40.3,49.1,0,1,1,False,0,3,gas_and_hot
2026-06-21T10:00:04,26.4,58.3,0,1,1,False,0,3,gas_only
2026-06-21T10:00:06,44.9,41.2,0,0,1,False,0,3,extreme_heat
2026-06-21T10:00:08,40.1,63.4,0,1,1,False,0,3,gas_and_hot
2026-06-21T10:00:10,35.0,60.0,0,1,1,False,0,3,gas_and_hot
2026-06-21T10:00:12,28.4,58.7,0,1,1,False,0,3,gas_only
2026-06-21T10:00:14,37.5,50.4,0,1,1,False,0,3,gas_and_hot
2026-06-21T10:00:16,23.9,57.8,0,1,1,False,0,3,gas_only
2026-06-21T10:00:18,36.0,58.4,0,1,1,False,0,3,gas_and_hot
2026-06-21T10:00:20,40.1,55.2,1,0,1,False,24,3,extreme_heat
2026-06-21T10:00:22,35.8,58.5,0,1,1,False,0,3,gas_and_hot
2026-06-21T10:00:24,40.0,58.3,0,1,1,False,0,3,gas_and_hot
2026-06-21T10:00:26,27.3,60.1,0,1,1,False,0,3,gas_only
2026-06-21T10:00:28,35.0,58.1,0,1,1,False,0,3,gas_and_hot
2026-06-21T10:00:30,40.7,56.4,0,0,1,False,0,3,extreme_heat
2026-06-21T10:00:32,40.8,51.2,0,0,1,False,0,3,extreme_heat
2026-06-21T10:00:34,23.7,50.3,1,0,0,False,33,1,day_lingering_motion
2026-06-21T10:00:36,37.8,51.0,0,1,1,False,0,3,gas_and_hot
2026-06-21T10:00:38,28.7,48.7,1,0,0,False,57,1,day_lingering_motion
2026-06-21T10:00:40,37.5,47.7,0,1,1,False,0,3,gas_and_hot
2026-06-21T10:00:42,42.7,59.9,0,0,1,False,0,3,extreme_heat
2026-06-21T10:00:44,25.5,58.9,1,0,0,False,45,1,day_lingering_motion
2026-06-21T10:00:46,36.5,53.4,0,1,1,False,0,3,gas_and_hot
2026-06-21T10:00:48,44.4,57.7,0,0,1,False,0,3,extreme_heat
2026-06-21T10:00:50,26.3,52.0,1,0,0,False,18,0,normal
2026-06-21T10:00:52,43.2,57.5,0,0,1,False,0,3,extreme_heat
2026-06-21T10:00:54,35.9,53.6,0,1,1,False,0,3,gas_and_hot
2026-06-21T10:00:56,40.3,61.0,0,1,1,False,0,3,gas_and_hot
2026-06-21T10:00:58,26.9,56.6,1,0,0,False,19,0,normal
2026-06-21T10:01:00,36.6,56.7,0,1,1,False,0,3,gas_and_hot
2026-06-21T10:01:02,26.0,57.8,1,0,0,False,37,1,day_lingering_motion
